,File Name ,Treatment,aHydroxybutyrate,aHydroxyisovalerate,bHydroxybutyric acid,bHydroxyisobutyrate,Acetate,Acetoacetate,Acetone,Alanine,Allantoin,Citrate,Creatine,Creatinine,DSS.d6 (Chemical Shape Indicator),Ethanol,Formate,Glucose,Glutamine,Glycerol,Glycine,Histidine,Isoleucine,Lactate,Leucine,Lysine,Methionine,Phenylalanine,Pyruvate,Succinate,Taurine,Tyrosine,Valine
AB24.10,2016.07.28_INDI101.Plasma_29_fid ,C26,-0.026500532748738623,-0.025972313737628153,-0.4500293489678931,-0.04712753868973162,-0.04775693437343677,-0.04846767803170434,-0.01856715372117711,0.060483754734535745,-0.06688192690739783,-0.13240844173074054,-0.06428793430680686,0.010735555259301671,0.00671272786695203,0.02327747857586485,0.05033137225073887,-0.16927948891748215,0.07044965029603849,-0.07002871318209027,0.011977278017992376,-0.0048597691828465815,-0.041494583201677995,-0.0734532615279802,-0.010686774765253362,0.06475348669341378,0.012401429793281299,0.0017812306686893163,-0.0788221730131063,-0.02752525821538809,0.0822245702751262,0.049203288038743485,-0.06731372216742224
AB24.11,2016.07.28_INDI101.Plasma_15_fid ,C26,-0.026500532748738623,-0.0030133623673491185,-0.08275250272650911,-0.023144058440504347,-0.04502536520050426,0.0024263428562880224,-0.010632472643750996,-0.0670693784592132,-0.07830659769585015,-0.050592821543274796,-0.06184816450389198,0.003067301502657613,0.004547331780837755,0.05201510644730292,-0.02271188906552615,-0.2804068096146958,0.05297854810737832,-0.058851631888447886,0.0017596948746813705,-0.013901200220700731,-0.008017000151491963,-0.25843920370055384,-0.013358468456566668,-0.06787413665454227,-0.04228204016134474,-0.05479903763085367,-0.01933374055038455,-0.024772732393849282,0.27700989402124554,0.01486293433667606,-0.023957237204094952
AB24.12,2016.07.28_INDI101.Plasma_20_fid ,C26,0.07841513818719048,0.008466113317790394,1.6037555249951108,-0.03033910251527253,-0.08690942585213614,0.32080986887651936,-0.004284727781810106,-0.23690914820088982,-0.0716422064025863,-0.15688319990647817,0.005245505076267016,-0.03527396728056265,0.019705104383635277,-0.008333912082717025,-0.050103112059125536,-0.6548478620844234,-0.11864933809887153,0.02626614104005968,-0.07771039623996,-0.05006692437211731,-0.08202007847295585,-0.7977927738717447,-0.1215620629547562,-0.10688226116864698,-0.07938868048769814,-0.04641677566055102,-0.1085663892444672,-0.046792938966159756,0.2173627135439649,-0.1777649872108583,-0.12623407352784136
AB24.7,2016.07.28_INDI101.Plasma_8_fid ,C26,0.029454491750423563,-0.0030133623673491185,0.39332484952091507,-0.056720930789422544,-0.07052001081454105,0.050953199982048204,-0.009045536428265775,-0.18838349970326795,-0.08782715668622705,-0.14149906619601452,-0.03501069667182837,-0.023771586645596563,0.00671272786695203,-0.02845025159272368,0.027505353089406055,-0.6631786920162093,0.0992255833126552,-0.008124878324993857,-0.10041613655842893,-0.0432858510937267,-0.07673414430713701,-0.5300036004409715,-0.10686774765253293,-0.0901644935197449,-0.06767079406884968,-0.03803451369024835,-0.057576304276419986,-0.024772732393849282,0.14746367392215182,-0.17722841918426352,-0.13957453043963436
AB24.9,2016.07.28_INDI101.Plasma_12_fid ,C26,0.015465735625633017,0.017075720081645034,0.3756923549932326,-0.05911927881434527,-0.09874622560151036,0.046218872457583784,-0.010632472643750996,-0.10173055595751453,-0.1182929454554332,-0.17156805481192075,-0.07892655312429608,-0.04294222103720671,-0.03009900559698404,0.07213144595730958,0.02065754734100621,-0.8650525530418033,-0.017933572540712896,-0.024460612523394293,-0.08338683131957719,-0.02294263125855488,-0.0943539248598665,-0.37672953406941057,-0.10018851342424961,-0.03220956567021794,-0.03056415374249631,-0.04432121016797535,-0.0023370455610354766,-0.03853536150154333,-0.15496617084155984,0.01164352617710726,-0.1362394162116861
AB26.15,2016.07.28_INDI101.Plasma_2_fid ,C26_Fol,-0.00784885791568456,0.025685326845499668,-0.017031386759692995,0.02482290205795023,-0.05686216494987849,0.02254723483526175,-0.01221940885923622,-0.023396294811353482,0.24253624027985193,0.0417119807195071,0.09795675758703216,0.02223793589426775,-0.021437421252528743,-0.04569282831558652,-0.013581481400993018,-0.260472323706494,-0.17209035655830257,-0.008984653809120221,0.02105957414537998,-0.016161557980164252,-0.027398758759494417,0.018662187227342104,-0.04675463959798318,0.003455005314106393,-0.01884626732364788,0.04369254052020264,0.007577693182751474,-0.024772732393849282,0.10971819252637266,0.07817796147486288,-0.058420084226226875
AB26.17,2016.07.28_INDI101.Plasma_4_fid ,C26_Fol,0.01313427627150126,0.042904540373208934,-0.4622518735836729,0.0392129902074866,-0.13152505567670053,-0.05438558743728485,-0.01856715372117711,0.08682624963324485,0.24824857567407807,-0.11842286563031906,0.20896628361965894,-0.012269206010630486,-0.07340692731926293,-0.0341977771670113,0.027505353089406055,0.7627321097010497,-0.08165170993465001,-0.06401028479320589,0.03241244430461443,-0.02068227349909134,-0.01330293431731081,0.24215540715828818,0.014694315302223229,0.2029536992576705,0.09637961579502842,0.07512602290883762,-0.0023370455610354766,-0.03578283568000452,0.5500821421437957,-0.15683883417366098,-0.010616780292301948
AB26.18,2016.07.28_INDI101.Plasma_28_fid ,C26_Fol,0.13670162204048442,0.03716480253063919,0.04247828227123503,0.008034465883491127,-0.10056727171679872,-0.018878131003801802,-0.01856715372117711,-0.16897324030421915,0.04355655738097439,-0.06527767644871735,-0.05452885509514736,-0.012269206010630486,0.017539708297521606,0.020403715788721036,-0.029559694813925994,-0.3439293878445621,-0.1803120517059074,-0.011563980261499194,-0.10836314566989305,-0.013901200220700731,-0.004493044040946054,0.1326739311786018,-4.634649766940352e-17,-0.024407940767397,-0.07743569941789005,-0.0024099003164620267,-0.04907795678174545,-0.024772732393849282,-0.10091091353402432,-0.16864333075874668,-0.032850875145290274
AB26.19,2016.07.28_INDI101.Plasma_3_fid ,C26_Fol,0.024791573042160054,0.1031717877201914,-0.4167680524724922,0.09437499478070938,-0.1069409331203079,-0.04965125991282044,-0.01856715372117711,0.1644672872294399,0.0511730045732759,-0.14919113305124634,0.1723697365759358,0.003067301502657613,0.050020649589230325,0.026151241363008663,-0.029559694813925994,-0.41667538492747697,-0.03026611526212007,-0.012423755745625558,-0.051598794873720696,0.020004166171252304,-0.01154095626203784,0.9896496224678716,-0.02003770268484998,0.0870438435586165,0.09442663472522032,0.07722158840141327,0.11663981936440802,-0.02752525821538809,0.11065017972133019,0.12432281176201594,-0.0017231423511065846
AB26.20,2016.07.28_INDI101.Plasma_10_fid ,C26_Fol,-0.026500532748738623,0.03716480253063919,-0.28332212797889605,0.04161133823240933,-0.1042093639473754,-0.033081113577195016,-0.01221940885923622,0.03067514208599659,0.1121045821116882,-0.043600033493064044,0.044281821922904994,0.006901428380979651,0.034862876986432804,0.046267580873015315,0.034353158837805896,-0.34244173964245733,-0.09501196454950774,0.005631529421027546,0.002894981890604772,0.010962735133398176,0.0007928901248727951,0.20440317406184455,0.06278480174586301,0.013485665903447583,0.020213354072513574,0.020641320101870305,-0.00658621930837272,-0.00825757746461643,0.2541762077447866,-0.16703362667896227,-0.01951041823349727
AB26.5,2016.07.28_INDI101.Plasma_27_fid ,Fol,-0.026500532748738623,-0.025972313737628153,-0.031658342447429454,0.0296195981077957,0.12888453880953246,-0.043733350507239935,-0.01856715372117711,0.3204425859717959,-0.012614740662249413,0.08227015141072944,-0.010612998642679644,0.018403809015945728,-0.004114252563617544,-0.005460149295573223,0.02978795500553934,-0.13431975616802397,0.12800151632927204,-0.056272305436068856,0.07668863792562894,0.10137704551193963,0.11708344177288749,0.47017889506080757,0.1749959367810225,0.09038739708839692,0.051461051189442754,0.03531027854989995,0.047236648157899325,0.019267680750771652,-0.11349274066595072,-0.12357161652478317,0.13390483625212232
AB26.6,2016.07.28_INDI101.Plasma_32_fid ,Fol,-0.014073854391216353,-0.025972313737628153,-0.2310257521638382,0.02482290205795023,0.1024793701378515,-0.04846767803170434,0.26708136506616303,0.14921636913018724,-0.05260108842183246,0.10534635197642489,-0.08014643802575352,-0.008435079132308466,-0.05824915471646541,-0.03994530274129891,0.05489657608300543,-0.09117795830699069,-0.08781798129535356,-0.07346781511859565,-0.043651785762256534,0.11041847654979375,0.062462122059426035,-0.0379661624173232,0.09751681973293617,-0.02106438723761658,0.02607229728193779,0.02483245108702165,-0.030664870543283915,0.002752525821538804,-0.1941096330297752,-0.126791024684352,0.12278778882562814
AB26.7,2016.07.28_INDI101.Plasma_24_fid ,Fol,-0.026500532748738623,-0.005883231288633999,-0.5668446252137888,-0.03273745054019526,-0.13971976319549806,-0.07095573377291027,-0.01856715372117711,-0.16412067545445697,-0.10782033056601859,-0.183455794497279,0.012564814485011632,0.03757444340755586,0.024035896555863228,-0.02270272601843606,0.0023967320119399472,-0.9531213266063957,0.06325566704188439,-0.07088848866621662,-0.11063371970173994,0.056169890322668906,-0.05735238569913454,0.28619967910413924,-0.037403711678386554,-0.07679027940062329,-0.01884626732364788,0.07303045741626196,-0.12839586673204112,-0.00825757746461643,-0.05990347695589397,0.0840802097674057,-0.06953713165272106
AB26.8,2016.07.28_INDI101.Plasma_14_fid ,Fol,-0.026500532748738623,-0.025972313737628153,0.1242289387177624,0.017627857983182046,0.2035474295363545,-0.03663185922054332,-0.015393281290206666,0.11663486228178391,-0.05069697662375709,0.2200280759998812,-0.05208908529223248,-0.004600952253986428,0.021870500469749553,-0.005460149295573223,-0.0067336756525931745,0.4814178346830698,0.05708939568118076,-0.06487006027733226,-0.008457888268629636,-0.0003390536639195166,0.062462122059426035,-0.13159170049650334,0.09885266657859287,-0.09462256489278549,-0.020799248393455937,-0.008696596794189023,-0.012251784304822428,0.08257577464616427,-0.09997892633906684,0.2901223319798102,0.0605323232372608
AB26.9,2016.07.28_INDI101.Plasma_31_fid ,Fol,-0.026500532748738623,-0.025972313737628153,-0.25026120073949165,-0.02554240646542706,0.1252424465789558,-0.05083484179393655,-0.01856715372117711,0.168626628529236,-0.08877921258526476,0.009545155688537659,-0.03989023627765813,0.018403809015945728,-0.13836880990267977,-0.04569282831558652,-0.0067336756525931745,0.20040108930551112,0.029341174558014604,-0.00210644993610949,0.033547731320537906,-0.007120126942310124,0.02017464873287525,0.14978827684898963,0.06545649543717631,-0.0076901731184949645,0.022166335142321636,0.0332147130573243,0.04298747441056208,0.02477273239384927,-0.1941096330297752,0.25578197827774274,0.046080161582818344
AB24.1,2016.07.28_INDI101.Plasma_16_fid ,Veh,-0.026500532748738623,-0.025972313737628153,-0.08615878007844771,-0.011152318315890692,0.10703198542607235,-0.0011244027870602714,-0.010632472643750996,0.011958106236913901,-0.05450520021990785,0.12352760090697282,-0.03867035137620068,-0.016103332888952524,0.050020649589230325,0.011782427427289615,-0.050103112059125536,0.581090264224078,0.06736651461568675,0.062376711373366006,0.0199242871294565,-0.027463346777481946,0.014888714567056401,0.0393000746533979,-0.02137354953050663,0.01571470158996784,-0.01884626732364788,-0.071563561571459,0.11947260186263295,0.02752525821538809,-0.16009210041382615,-0.13591268113646368,0.0483035710681172
AB24.2,2016.07.28_INDI101.Plasma_19_fid ,Veh,-0.026500532748738623,-0.025972313737628153,-0.12242561541379442,-0.01594901436573616,0.09519518567669813,-0.012960221598221288,-0.01221940885923622,0.0008665294374574384,0.010234600914655181,0.09206005468102448,-0.03135104196745606,-0.023771586645596563,0.0002165396086104058,0.026151241363008663,-0.04782051014299225,0.4765085956161248,-0.02307213200796589,0.015948835230543613,0.009706703986145496,-0.027463346777481946,0.011364758456510492,-0.06338599936892855,-0.02137354953050663,-0.04892733331911997,-0.0012694376953752294,-0.04641677566055102,0.10105951562417143,0.02477273239384927,-0.20436149217430782,-0.1600582423332298,0.03273970467102534
AB24.3,2016.07.28_INDI101.Plasma_223_fid ,Veh,0.015465735625633017,-0.025972313737628153,0.8058851476174833,0.06799316650655936,0.14982656913534842,0.06397260067432532,-0.01856715372117711,0.03414125983582673,0.06354973126076592,0.31652855109278943,0.08697779347391527,0.07208158531245412,0.015374312211407328,0.01465619021443343,0.1096790220702042,1.9363377763413683,0.16910999206729585,0.468190739880998,0.28558144885554326,0.020004166171252304,0.10474959538597685,0.42512789689905145,0.061448954900206354,0.2029536992576705,0.07099086188752346,0.018545754609294616,-0.044828783034408154,0.07982324882462545,0.027237325772633148,0.448946467851872,0.20394223503903564
AB24.4,2016.07.28_INDI101.Plasma_13_fid ,Veh,-0.026500532748738623,-0.025972313737628153,-0.18734525435662494,-0.03273745054019526,0.03783223304511534,-0.014143803479337393,-0.009045536428265775,-0.03934043646057213,-0.024991467349739428,0.08227015141072944,-0.03867035137620068,-0.004600952253986428,0.02836668872809118,-0.016955200444148444,-0.05238571397525881,0.2966519279816787,0.01495320804970618,-0.014143306713878225,0.02105957414537998,-0.018421915739627814,0.014888714567056401,-0.3085238329418358,-0.04141125221535656,-0.07233220802758278,0.012401429793281299,-0.06318129960115634,0.09256116812949688,0.013762629107694045,-0.29616223087762245,0.18763783890020272,0.0060587908474393284
AB24.5,2016.07.28_INDI101.Plasma_21_fid ,Veh,-0.026500532748738623,-0.025972313737628153,-0.1574902352131628,-0.013550666340813427,0.038742756102759505,-0.02361245852826621,-0.01221940885923622,-0.1544155457549326,0.04355655738097439,0.13961101342245757,-0.04233000608057299,-0.008435079132308466,0.04568985741700238,-0.03994530274129891,-0.04782051014299225,0.439763685024141,0.055033971894279506,-0.03821702026941576,0.06760634179824132,-0.05232728213158085,0.007840802345964583,-0.3802530758250785,-0.03473201798707325,-0.037782154886518614,-0.03056415374249631,-0.027556686227370012,0.01324325817920118,0.016515154929232848,-0.19783758180960526,-0.15093658588111813,0.03162799992837593
